time,problem_id,problem_rating_at_time,problem_rating_now,type,av_secs,seconds,after_first,user_rating,user_rating_change,correct,wrong_move,num_moves,is_mate,non_winning,user_rd,tags
2015-01-14 02:13:42+00,52141,1146.15,1084.36,Blitz,18.082,4,1,1247.4,27.6195,1,-,2,false,false,110.24,"Overloading:9,Distraction:8,Capturing Defender:6,Simplification:3,Counting:1"
2015-01-14 02:13:31+00,23814,993.43,970.978,Blitz,14.9944,5,0,1219.78,17.8956,1,-,1,false,false,115.905,"Hanging Piece:5,Advanced Pawn:3,Quiet Move:3"
2015-01-14 02:13:18+00,46717,1010.39,955.005,Blitz,20.2833,3,1,1201.88,23.0464,1,-,2,false,false,120.732,"Fork:9,Hanging Piece:2"
2015-01-14 02:13:07+00,13339,1054.77,1093.5,Blitz,14.093,19,0,1178.83,8.67405,1,-,1,false,false,126.939,Hanging Piece:11
2015-01-14 02:12:34+00,65465,1178.45,1153.57,Blitz,29.674,33,0,1170.16,-60.2203,0,-,2,true,false,135.216,"Sacrifice:14,Attraction:12,Back Rank Mate:6,Exposed King:6,Removing the Guard:1"
2014-11-01 10:35:37+00,52483,1077.11,1028.51,Blitz,35.1561,1310,0,1230.38,-44.7619,0,-,2,false,false,101.527,"Counting:7,Fork:6,Needs Different Opponent Move...:6,Coercion:6,Pin:2"
2014-11-01 10:13:23+00,62664,1297.3,1316.43,Blitz,22.7471,39,0,1275.14,-32.4822,0,-,2,false,false,104.811,"Capturing Defender:14,Fork:6,Exposed King:5,Zwischenzug:2"
2014-11-01 10:11:44+00,32822,1256.76,1246.6,Blitz,25.4932,29,0,1307.62,-43.8703,0,-,1,false,false,109.874,"Pin:15,Needs More Moves...:11,Attraction:6,Sacrifice:6,Needs More Moves...:4,Absolute Pin:3,Exchange Sacrifice:3"
2014-11-01 10:11:02+00,87887,1309.61,1274.85,Blitz,38.4253,14,3,1351.49,37.736,1,-,3,false,false,115.312,"Fork:9,Weak Back Rank:5,Exposed King:3"
2014-11-01 10:10:40+00,78636,1181.92,1121.56,Blitz,45.9974,25,4,1313.75,30.7573,1,-,2,false,false,122.182,"Discovered Attack:9,Mate Threat:6"
2014-11-01 10:10:07+00,10568,1097.48,1107.66,Blitz,17.6101,8,0,1282.99,27.8152,1,-,2,true,false,129.722,Exposed King:11
2014-11-01 10:09:39+00,41753,1305.57,1315.36,Blitz,43.6077,25,0,1255.17,-55.2659,0,-,2,false,false,137.764,Trapped Piece:9
2014-06-23 23:56:30+00,41216,1384.29,1447.24,Blitz,34.5232,33,0,1310.44,-11.1264,0,1.e3,1,false,false,68.5895,"Capturing Defender:17,Mate Threat:16,Discovered Attack:10,Weak Back Rank:7,Exposed King:5,Opera Mate:3"
2014-06-23 23:55:47+00,105706,1203.68,970.403,Blitz,21.9755,9,0,1321.57,-19.3038,0,1...Kd7,2,false,false,69.8988,"Unsound Sacrifice:4,Counting:1"
2014-06-23 23:55:30+00,18571,1257.45,1245.61,Blitz,20.1232,20,2,1340.87,8.71659,1,-,3,true,false,71.2368,"Attraction:12,Sacrifice:10,Exposed King:7,Lolli's Mate:5,Distraction:3"
2014-06-23 23:55:02+00,11963,1053.94,1070.72,Blitz,22.5877,500729,0,1332.15,-24.0369,1,-,1,false,false,72.6177,Hanging Piece:4
2014-06-18 04:49:18+00,49308,1297.06,1329.44,Blitz,37.7752,39,0,1356.19,-16.0835,0,1...Ke4,3,false,false,67.8428,"Exposed King:10,Coercion:7,Pin:6,Distraction:6,Attraction:4,Needs Different Opponent Move...:4"
2014-06-18 04:48:28+00,57717,1354.22,1387.88,Blitz,22.207,15,0,1372.27,-15.0362,0,1.d5,1,false,false,69.1357,"Hanging Piece:17,Unsound Sacrifice:11"
2014-06-18 04:48:05+00,43659,1279.39,1263.84,Blitz,31.856,11,1,1387.31,10.3812,1,-,2,false,false,70.4571,Skewer:27
2014-06-18 04:47:46+00,40709,1242.33,1228.6,Blitz,12.8294,4,1,1376.93,9.73232,1,-,2,false,false,71.8072,"Fork:13,Exposed King:5"
